topic,course_id,title,url,thumbnail,instructor,instructor_photo,num_lectures,subscribers,price,currency,duration,rating,description
Graphic Design,5663964,Adobe Photoshop: Complete Beginners Course (2025),https://www.udemy.com/course/adobe-photoshop-complete-beginners-course-2024/,https://img-c.udemycdn.com/course/480x270/5663964_b81c_3.jpg,Programming Hub: 40 million+ global students,https://img-c.udemycdn.com/user/100x100/225034806_bff9_10.jpg,72,9656,$19.99,USD,9.5 total hours,4.42,"Master the Art of Digital Design: Learn Image Manipulation, Graphic Design, Typography, and More with Adobe Photoshop"
Graphic Design,6234303,Mastering Graphic Design with Canva,https://www.udemy.com/course/mastering-graphic-design-with-canva/,https://img-c.udemycdn.com/course/480x270/6234303_e6f8_2.jpg,The Digital Tutors,https://img-c.udemycdn.com/user/100x100/711157_bb4f_7.jpg,40,3154,$39.99,USD,3 total hours,4.3,"Create Stunning Designs, Websites, AI tools, Animations, and Videos | Grow Your Career as a Canva Certified Expert"
Graphic Design,4813034,Canva for Kids Boot Camp,https://www.udemy.com/course/canva-for-kids-boot-camp/,https://img-c.udemycdn.com/course/480x270/4813034_dfd6_2.jpg,Zainab Bhadmus,https://img-c.udemycdn.com/user/100x100/25207928_16bc_4.jpg,18,67,$29.99,USD,3.5 total hours,4.125,A Kid-friendly Graphic Design Course
Graphic Design,52457,The Logo Design Process From Start To Finish,https://www.udemy.com/course/the-logo-design-process-from-start-to-finish/,https://img-c.udemycdn.com/course/480x270/52457_06a5_7.jpg,Stephen Looney,https://img-c.udemycdn.com/user/100x100/745121_2796_6.jpg,46,35283,$34.99,USD,7 total hours,4.62,"Learn every aspect of a logo design project from the initial meeting with client, the technical design and finalization."
Graphic Design,1991038,Make Creative Assets in Adobe Illustrator Masterclass,https://www.udemy.com/course/make-creative-assets-in-adobe-illustrator-masterclass/,https://img-c.udemycdn.com/course/480x270/1991038_b21c_3.jpg,Helen Bradley,https://img-c.udemycdn.com/user/100x100/50319_0398_2.jpg,41,539,$54.99,USD,5 total hours,4.75,"Develop graphic design skills making assets for scrapbooking, design projects, social media, printables, & social media"
Graphic Design,4654262,Graphic Design Portfolio and Creative Design Basics,https://www.udemy.com/course/creative-design-basics-graphic-design/,https://img-c.udemycdn.com/course/480x270/4654262_bc08.jpg,Artisto Picasso,https://img-c.udemycdn.com/user/100x100/192529058_4f91_2.jpg,39,452,$44.99,USD,7 total hours,4.17,"Learn the Practical Design Principles, E-Practicing Tool, Creative Design, Live Projects and Graphic Design Portfolio"
Graphic Design,3604690,Complete Graphics Design and Video Editing Masterclass,https://www.udemy.com/course/complete-graphics-design-and-video-editing-masterclass/,https://img-c.udemycdn.com/course/480x270/3604690_d66d_3.jpg,Stephen Koel Soren,https://img-c.udemycdn.com/user/100x100/43500372_534d_2.jpg,107,116838,$54.99,USD,16 total hours,4.6,"Learn Graphics Design With Adobe Photoshop, Adobe Illustrator, Canva  and Learn Video Editing With Adobe Premiere Pro"
Graphic Design,987865,Adobe Illustrator Pattern Making Masterclass,https://www.udemy.com/course/make-patterns-in-illustrator/,https://img-c.udemycdn.com/course/480x270/987865_67dc_5.jpg,Helen Bradley,https://img-c.udemycdn.com/user/100x100/50319_0398_2.jpg,49,1292,$49.99,USD,5 total hours,4.54,Boost your Graphic Design skills - make seamless patterns in Illustrator - in-depth training for all experience levels
Graphic Design,4871064,Ultimate Graphic Design Masterclass!- Guide to Great Design!,https://www.udemy.com/course/ultimate-graphic-design-masterclass-guide-to-great-design/,https://img-c.udemycdn.com/course/480x270/4871064_36d1.jpg,Artisto Picasso,https://img-c.udemycdn.com/user/100x100/192529058_4f91_2.jpg,123,92,$39.99,USD,19 total hours,4.214286,"A Beginner’s Course to Master Adobe Photoshop, Illustrator & Jump Start your Graphic Design Career!"
Graphic Design,4972884,Autumn Invitation Poster  Graphic Design Canva,https://www.udemy.com/course/thanksgiving-autumn-invitation-poster-design-canva/,https://img-c.udemycdn.com/course/480x270/4972884_d97b.jpg,Diemante Sulciute,https://img-c.udemycdn.com/user/100x100/101353120_1321_2.jpg,13,457,$19.99,USD,2 total hours,5.0,Design with Me from A-Z. Best Canva Tips to Make your life easier! Create an attractive design only using Canva!
Graphic Design,5315180,Complete Graphics Design Course for Beginner to Advanced,https://www.udemy.com/course/complete-graphics-design-course-for-beginner-to-advanced/,https://img-c.udemycdn.com/course/480x270/5315180_3f5b_2.jpg,Ben Kemp,https://img-c.udemycdn.com/user/100x100/217511250_d7ae_4.jpg,46,24940,$39.99,USD,10 total hours,4.3828125,"Learn Graphice Design With Adobe Photoshop, Adobe Illustrator, Adobe Lightroom"
Graphic Design,5310388,Graphic Design With Your Smartphone (Beginner to Advanced),https://www.udemy.com/course/graphic-design-with-your-smartphone/,https://img-c.udemycdn.com/course/480x270/5310388_ac87_5.jpg,Ale Joshua,https://img-c.udemycdn.com/user/100x100/52865226_de0b.jpg,19,20,$29.99,USD,11 total hours,4.75,"Skill up Graphic Design with: Principles of Design, Typography, Use of Elements, Print Design, Brand & Marketing Design."
Graphic Design,38224,Learn Graphic Design & Composition: A Foundation Course,https://www.udemy.com/course/learn-graphic-design-and-composition-a-foundation-course/,https://img-c.udemycdn.com/course/480x270/38224_28a3_13.jpg,nanometh !,https://img-c.udemycdn.com/user/100x100/566536_e18f_2.jpg,38,404,$19.99,USD,4 total hours,4.392857,A Foundation Course in Graphic Design & Composition: Giving You Creative Confidence...
Graphic Design,5896370,Canva for Social Media Graphic Design and Video Editing,https://www.udemy.com/course/canva-for-social-media-graphic-design-and-video-editing/,https://img-c.udemycdn.com/course/480x270/5896370_2474.jpg,Learnify IT,https://img-c.udemycdn.com/user/100x100/225866994_79d2_2.jpg,19,19282,$19.99,USD,5.5 total hours,4.5859375,"Canva for Every Post: Create Stunning Social Media Graphics and Videos for Instagram, Facebook, YouTube, TikTok and More"
Graphic Design,1345266,Introduction to Graphic Design,https://www.udemy.com/course/introduction-to-graphic-design-course/,https://img-c.udemycdn.com/course/480x270/1345266_66eb_2.jpg,StudyOnline247 Courses,https://img-c.udemycdn.com/user/100x100/31610496_619d_4.jpg,54,411,$49.99,USD,11.5 total hours,3.91,The Complete Introduction to Graphic Design
Graphic Design,4218954,Crafting a great graphic design portfolio,https://www.udemy.com/course/crafting-a-great-graphic-design-portfolio/,https://img-c.udemycdn.com/course/480x270/4218954_125e.jpg,Jeremy Mura,https://img-c.udemycdn.com/user/100x100/21362652_b30d_3.jpg,12,179,$39.99,USD,2 total hours,4.3783784,"I want to show you how to craft a great portfolio page, case study and get more clients."
Graphic Design,5248612,Graphic Design Masterclass for Youtubers and Influencers,https://www.udemy.com/course/graphic-design-masterclass-for-youtubers-and-influencers/,https://img-c.udemycdn.com/course/480x270/5248612_de17_5.jpg,Sneha Lodha,https://img-c.udemycdn.com/user/100x100/14173870_9d55_2.jpg,23,36,$19.99,USD,2 total hours,5.0,Most Useful Information on AI Tools are Included To Make Graphic Designing Quicker and Less Time Consuming
